G0018,G1030,G0130
T1087,T1583,T1555
T1087.001,T1560,T1555.003
T1059,T1560.001,T1105
T1059.003,T1119,T1056
T1203,T1110,T1056.001
T1083,T1110.003,T1566
T1036,T1059,T1566.001
T1036.005,T1059.003,T1566.003
T1069,T1543,T1204
T1069.001,T1543.003,T1204.002
,T1566,T1005
,T1566.001,T1074
,T1082,T1074.001
,T1016,T1140
,T1049,T1041
,T1007,T1190
,T1204,T1562
,T1204.002,T1562.001
