all_techniques,G0018,G1030,G0130
T1595,T1087,T1583,T1555
T1595.001,T1087.001,T1560,T1555.003
T1595.002,T1059,T1560.001,T1105
T1595.003,T1059.003,T1119,T1056
T1592,T1203,T1110,T1056.001
T1592.004,T1083,T1110.003,T1566
T1592.003,T1036,T1059,T1566.001
T1592.001,T1036.005,T1059.003,T1566.003
T1592.002,T1069,T1543,T1204
T1589.002,T1069.001,T1543.003,T1204.002
T1589.003,T1566,T1005
T1590,T1566.001,T1074
T1590.002,T1082,T1074.001
T1590.001,T1016,T1140
T1590.005,T1049,T1041
T1590.006,T1007,T1190
T1590.004,T1204,T1562
T1591,T1204.002,T1562.001
