TA0043,TA0042,TA0001,TA0002,TA0003,TA0004,TA0005,TA0006,TA0007,TA0008,TA0009,TA0011,TA0010,TA0040
,,,,T1137.001,T1574.011,T1556.002,,,,,,,
,,,,T1137.002,T1055,T1556.003,,,,,,,
,,,,T1137.003,T1055.004,T1112,,,,,,,
,,,,T1137.004,T1055.001,T1027,,,,,,,
,,,,T1137.005,T1055.011,T1027.001,,,,,,,
,,,,T1542,T1055.002,T1027.004,,,,,,,
,,,,T1542.003,T1055.009,T1027.005,,,,,,,
,,,,T1542.002,T1055.013,T1027.002,,,,,,,
,,,,T1542.001,T1055.012,T1027.003,,,,,,,
,,,,T1053,T1055.008,T1542,,,,,,,
,,,,T1053.001,T1055.003,T1542.003,,,,,,,
,,,,T1053.002,T1055.005,T1542.002,,,,,,,
,,,,T1053.003,T1055.014,T1542.001,,,,,,,
,,,,T1053.004,T1053,T1055,,,,,,,
,,,,T1053.005,T1053.001,T1055.004,,,,,,,
,,,,T1505,T1053.002,T1055.001,,,,,,,
,,,,T1505.001,T1053.003,T1055.011,,,,,,,
,,,,T1505.002,T1053.004,T1055.002,,,,,,,
,,,,T1505.003,T1053.005,T1055.009,,,,,,,
,,,,T1205,T1078,T1055.013,,,,,,,
,,,,T1205.001,T1078.001,T1055.012,,,,,,,
,,,,T1078,T1078.002,T1055.008,,,,,,,
,,,,T1078.001,T1078.003,T1055.003,,,,,,,
,,,,T1078.002,,T1055.005,,,,,,,
,,,,T1078.003,,T1055.014,,,,,,,
,,,,,,T1207,,,,,,,
,,,,,,T1014,,,,,,,
,,,,,,T1218,,,,,,,
,,,,,,T1218.003,,,,,,,
,,,,,,T1218.001,,,,,,,
,,,,,,T1218.002,,,,,,,
,,,,,,T1218.004,,,,,,,
,,,,,,T1218.005,,,,,,,
,,,,,,T1218.007,,,,,,,
,,,,,,T1218.008,,,,,,,
,,,,,,T1218.009,,,,,,,
,,,,,,T1218.010,,,,,,,
,,,,,,T1218.011,,,,,,,
,,,,,,T1216,,,,,,,
,,,,,,T1216.001,,,,,,,
,,,,,,T1553,,,,,,,
,,,,,,T1553.002,,,,,,,
,,,,,,T1553.001,,,,,,,
,,,,,,T1553.004,,,,,,,
,,,,,,T1553.003,,,,,,,
,,,,,,T1221,,,,,,,
,,,,,,T1205,,,,,,,
,,,,,,T1205.001,,,,,,,
,,,,,,T1127,,,,,,,
,,,,,,T1127.001,,,,,,,
,,,,,,T1550,,,,,,,
,,,,,,T1550.002,,,,,,,
,,,,,,T1550.003,,,,,,,
,,,,,,T1078,,,,,,,
,,,,,,T1078.001,,,,,,,
,,,,,,T1078.002,,,,,,,
,,,,,,T1078.003,,,,,,,
,,,,,,T1497,,,,,,,
,,,,,,T1497.001,,,,,,,
,,,,,,T1497.003,,,,,,,
,,,,,,T1497.002,,,,,,,
,,,,,,T1220,,,,,,,
