group_name,technique_id
APT32,T1550.002  T1036  T1059.007  T1047  T1072  T1570  T1564.004  T1552.002  T1055  T1216.001  T1566.001  T1135  T1033  T1571  T1082  T1583.001  T1012  T1027.010  T1059.003  T1048.003  T1574.002  T1566.002  T1598.003  T1087.001  T1059.001  T1003.001  T1046  T1608.004  T1041  T1036.004  T1003  T1078.003  T1589  T1070.006  T1189  T1218.011  T1059  T1112  T1071.003  T1560  T1204.001  T1071.001  T1036.005  T1070.004  T1070.001  T1027.011  T1105  T1053.005  T1036.003  T1543.003  T1608.001  T1222.002  T1569.002  T1018  T1218.005  T1083  T1059.005  T1588.002  T1021.002  T1550.003  T1583.006  T1505.003  T1564.001  T1016  T1027.001  T1049  T1564.003  T1027  T1056.001  T1589.002  T1218.010  T1068  T1585.001  T1137  T1203  T1204.002  T1547.001  T1102  T1094  T1065  T1050  T1064  T1031  T1022  T1043  T1087  T1045  T1107
HAFNIUM,T1592.004  T1105  T1583.006  T1560.001  T1005  T1033  T1059.003  T1057  T1003.001  T1590  T1505.003  T1589.002  T1567.002  T1114.002  T1218.011  T1078.003  T1059.001  T1564.001  T1016.001  T1016  T1590.005  T1083  T1003.003  T1098  T1136.002  T1071.001  T1018  T1190  T1095  T1132.001  T1583.003
MuddyWater,T1566.002  T1137.001  T1574.002  T1588.002  T1218.005  T1047  T1003.004  T1566.001  T1589.002  T1559.001  T1059.003  T1218.003  T1036.005  T1562.001  T1087.002  T1059.007  T1583.006  T1059.005  T1016  T1547.001  T1140  T1559.002  T1027.010  T1027.004  T1518.001  T1074.001  T1113  T1071.001  T1518  T1083  T1548.002  T1105  T1573.001  T1555.003  T1560.001  T1059.006  T1049  T1082  T1555  T1057  T1132.001  T1104  T1204.001  T1027.003  T1003.001  T1053.005  T1090.002  T1204.002  T1033  T1219  T1041  T1059.001  T1102.002  T1218.011  T1552.001  T1190  T1210  T1203  T1003.005  T1064
Strider,T1090.001  T1556.002  T1564.005
Operation Wocao,T1001  T1090  T1012  T1027.005  T1027  T1078.003  T1018  T1005  T1003.001  T1059.001  T1074.001  T1046  T1059.005  T1124  T1083  T1069.001  T1057  T1562.004  T1558.003  T1021.002  T1105  T1095  T1111  T1007  T1190  T1082  T1049  T1090.003  T1112  T1070.004  T1552.004  T1570  T1047  T1055  T1056.001  T1078.002  T1016  T1505.003  T1120  T1090.001  T1518  T1078  T1119  T1087.002  T1053.005  T1106  T1560.001  T1518.001  T1135  T1555.005  T1041  T1133  T1059.006  T1070.001  T1569.002  T1059.003  T1573.002  T1115  T1033  T1003.006
Naikon,T1078.002  T1018  T1547.001  T1518.001  T1046  T1047  T1137.006  T1016  T1036.005  T1566.001  T1036.004  T1053.005  T1204.002  T1574.002
FIN6,T1560.003  T1566.001  T1087.002  T1059  T1572  T1213  T1027.010  T1059.007  T1102  T1005  T1547.001  T1059.003  T1588.002  T1070.004  T1003.003  T1134  T1562.001  T1068  T1204.002  T1036.004  T1566.003  T1059.001  T1560  T1553.002  T1021.001  T1119  T1018  T1053.005  T1569.002  T1046  T1048.003  T1047  T1110.002  T1555  T1095  T1078  T1573.002  T1003.001  T1555.003  T1074.002  T1069.002  T1074.001
Gamaredon Group,T1491.001  T1534  T1047  T1083  T1119  T1036.005  T1027.004  T1105  T1021.005  T1027.001  T1218.011  T1566.001  T1082  T1059.005  T1113  T1005  T1039  T1608.001  T1112  T1016.001  T1559.001  T1562.001  T1025  T1221  T1140  T1080  T1106  T1485  T1033  T1564.003  T1070.004  T1059.001  T1020  T1071.001  T1583.001  T1120  T1041  T1053.005  T1027  T1057  T1027.010  T1204.002  T1568  T1547.001  T1059.003  T1218.005  T1137  T1102
Moafee,T1027.001
Gallmaker,T1204.002  T1027  T1560.001  T1559.002  T1059.001  T1566.001  T1064
