"technique_id","technique_name","enabled_percentage","enabled_count",count
T1090,Proxy,0,0,5
"T1090.001","Internal Proxy",0,0,2
"T1090.002","External Proxy",0,0,1
"T1090.003","Multi-hop Proxy",0,0,1
T1091,"Replication Through Removable Media",0,0,3
T1095,"Non-Application Layer Protocol",0,0,1
T1098,"Account Manipulation",0,0,47
"T1098.001","Additional Cloud Credentials",0,0,1
"T1098.002","Additional Email Delegate Permissions",0,0,6
"T1098.003","Additional Cloud Roles",0,0,17
"T1098.004","SSH Authorized Keys",0,0,1
"T1098.005","Device Registration",0,0,5
T1102,"Web Service",0,0,3
"T1102.002","Bidirectional Communication",0,0,2
T1105,"Ingress Tool Transfer",0,0,30
T1110,"Brute Force",0,0,38
"T1110.001","Password Guessing",0,0,5
"T1110.003","Password Spraying",0,0,14
"T1110.004","Credential Stuffing",0,0,5
T1112,"Modify Registry",0,0,46
"T1112,","",0,0,1
T1113,"Screen Capture",0,0,2
T1114,"Email Collection",0,0,20
"T1114.001","Local Email Collection",0,0,4
"T1114.002","Remote Email Collection",0,0,9
"T1114.003","Email Forwarding Rule",0,0,6
T1115,"Clipboard Data",0,0,2
T1119,"Automated Collection",0,0,4
T1123,"Audio Capture",0,0,3
T1127,"Trusted Developer Utilities Proxy Execution",0,0,1
T1129,"Shared Modules",0,0,1
T1133,"External Remote Services",0,0,11
T1134,"Access Token Manipulation",0,0,5
"T1134.001","Token Impersonation/Theft",0,0,1
"T1134.004","Parent PID Spoofing",0,0,1
T1135,"Network Share Discovery",0,0,7
T1136,"Create Account",0,0,22
"T1136.001","Local Account",0,0,9
"T1136.002","Domain Account",0,0,4
"T1136.003","Cloud Account",0,0,9
T1137,"Office Application Startup",0,0,3
T1140,"Deobfuscate/Decode Files or Information",0,0,1
T1176,"Software Extensions",0,0,1
"T1176.001","Browser Extensions",0,0,1
T1185,"Browser Session Hijacking",0,0,7
T1187,"Forced Authentication",0,0,4
T1189,"Drive-by Compromise",0,0,1
T1190,"Exploit Public-Facing Application",0,0,70
T1195,"Supply Chain Compromise",0,0,21
